site,datetime,value
trgw_003_008,2017-01-24,37.53620264917819
trgw_003_008,2017-01-25,37.716037831377136
trgw_003_008,2017-01-26,37.647833999093436
trgw_003_008,2017-01-27,37.63453542632511
trgw_003_008,2017-01-28,37.54253855744571
trgw_003_008,2017-01-29,37.910225111858495
trgw_003_008,2017-01-30,37.721102672696155
trgw_003_008,2017-01-31,37.5358828682129
trgw_003_008,2017-02-01,37.615823232643805
trgw_003_008,2017-02-02,37.49511065915919
trgw_003_008,2017-02-03,37.520065769983695
trgw_003_008,2017-02-04,37.51213485516196
trgw_003_008,2017-02-05,37.40882768125556
trgw_003_008,2017-02-06,37.79357039275359
trgw_003_008,2017-02-07,37.58126470734539
trgw_003_008,2017-02-08,37.74909351566535
trgw_003_008,2017-02-09,37.504951820454544
trgw_003_008,2017-02-10,37.633954501121536
trgw_003_008,2017-02-11,37.501651880641774
trgw_003_008,2017-02-12,37.78999863410747
trgw_003_008,2017-02-13,37.59567613865899
trgw_003_008,2017-02-14,37.49915028280972
trgw_003_008,2017-02-15,37.31761335423804
trgw_003_008,2017-02-16,37.69759730986816
trgw_003_008,2017-02-17,37.50215998953237
trgw_003_008,2017-02-18,37.64263415657581
trgw_003_008,2017-02-19,37.54572697839729
trgw_003_008,2017-02-20,37.83523791617975
trgw_003_008,2017-02-21,37.751521950471606
trgw_003_008,2017-02-22,37.731829417490964
trgw_003_008,2017-02-23,37.5173257753353
trgw_003_008,2017-02-24,37.73377200871004
trgw_003_008,2017-02-25,37.98678632173521
trgw_003_008,2017-02-26,37.487317793169986
trgw_003_008,2017-02-27,37.698930827845835
trgw_003_008,2017-02-28,37.33666060511657
trgw_003_008,2017-03-01,37.9485664184251
trgw_003_008,2017-03-02,37.58616258028183
trgw_003_008,2017-03-03,37.83242577616839
trgw_003_008,2017-03-04,37.33289034985673
trgw_003_008,2017-03-05,38.04471487742518
trgw_003_008,2017-03-06,37.61887569439488
trgw_003_008,2017-03-07,37.80091546469401
trgw_003_008,2017-03-08,37.72115364126652
trgw_003_008,2017-03-09,37.64276084276244
trgw_003_008,2017-03-10,38.02972046053186
trgw_003_008,2017-03-11,37.36379075872676
trgw_003_008,2017-03-12,37.759754731998406
trgw_003_008,2017-03-13,37.89874313444599
trgw_003_008,2017-03-14,37.70823177567273
trgw_003_008,2017-03-15,37.693082843126675
trgw_003_008,2017-03-16,37.6849104575853
trgw_003_008,2017-03-17,37.48194671591792
trgw_003_008,2017-03-18,37.75473747681899
